name,path,size,file_or_dir,parent
57,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
65,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
67,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
68,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
70,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
75,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
79,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
7b,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
80,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
85,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
8b,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
8d,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
8e,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
90,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
93,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
99,C:\PythonHomeWork_T\.git\objects,73728,DIR,C:\PythonHomeWork_T\.git\objects
9a,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
9f,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
a0,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
a5,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
a7,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
ac,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
ae,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
b6,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
bb,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
c0,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
c6,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
ce,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
d2,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
db,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
de,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
e3,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
e4,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
e5,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
e6,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
ee,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
f0,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
f2,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
f6,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
f9,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
info,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
pack,C:\PythonHomeWork_T\.git\objects,0,DIR,C:\PythonHomeWork_T\.git\objects
312859bd69c0f5fc447db0069458a9b1371027,C:\PythonHomeWork_T\.git\objects\01,153,FILE,C:\PythonHomeWork_T\.git\objects\01
a64826e2211b75fb07bdc1c1306e7171736a14,C:\PythonHomeWork_T\.git\objects\01,617,FILE,C:\PythonHomeWork_T\.git\objects\01
36398b77fec18c8959f9ff8ea98c39799a0d46,C:\PythonHomeWork_T\.git\objects\02,701,FILE,C:\PythonHomeWork_T\.git\objects\02
920cbf2c89b42fea43e2049f8b7821b7953f59,C:\PythonHomeWork_T\.git\objects\02,154,FILE,C:\PythonHomeWork_T\.git\objects\02
d3ecc76b344c262abe6bd933423b38b59a4467,C:\PythonHomeWork_T\.git\objects\03,228,FILE,C:\PythonHomeWork_T\.git\objects\03
b1d499e062fee00cf6d4c946ad3042f3539ef8,C:\PythonHomeWork_T\.git\objects\17,45,FILE,C:\PythonHomeWork_T\.git\objects\17
f556b5a6525de6e5b31f3eefcf48ad7cec7a13,C:\PythonHomeWork_T\.git\objects\1c,38,FILE,C:\PythonHomeWork_T\.git\objects\1c
673c6d7e63ae2c33eb140bfc0e041e0174530e,C:\PythonHomeWork_T\.git\objects\1d,327,FILE,C:\PythonHomeWork_T\.git\objects\1d
1139200bf1a5a1365e220ae507a9e956d5173a,C:\PythonHomeWork_T\.git\objects\21,1014,FILE,C:\PythonHomeWork_T\.git\objects\21
d3e6d40dc491f83ccf81394c0e5510e306cb10,C:\PythonHomeWork_T\.git\objects\21,708,FILE,C:\PythonHomeWork_T\.git\objects\21
4559cf549235f4b072fd79e2dc7b098aa42ce9,C:\PythonHomeWork_T\.git\objects\22,79,FILE,C:\PythonHomeWork_T\.git\objects\22
a1ad5f731e26b04db95280f80b561818218232,C:\PythonHomeWork_T\.git\objects\25,1503,FILE,C:\PythonHomeWork_T\.git\objects\25
6eb9da0715855df0aaff236cf06b1ff53d9cc5,C:\PythonHomeWork_T\.git\objects\30,1104,FILE,C:\PythonHomeWork_T\.git\objects\30
0e5a64c8c56c21fe0972d206f5e2520a269eea,C:\PythonHomeWork_T\.git\objects\39,531,FILE,C:\PythonHomeWork_T\.git\objects\39
062b0fb54bbd480be61ecc6ea516652085b1b0,C:\PythonHomeWork_T\.git\objects\3b,519,FILE,C:\PythonHomeWork_T\.git\objects\3b
b490f4240a5f3b9eefec1ce6f87a6a862e606c,C:\PythonHomeWork_T\.git\objects\40,50,FILE,C:\PythonHomeWork_T\.git\objects\40
c9e346ec054ae6330347471a07172e7213e1b0,C:\PythonHomeWork_T\.git\objects\42,309,FILE,C:\PythonHomeWork_T\.git\objects\42
854eef391aa69a064814dc40fa90e33c53c1bc,C:\PythonHomeWork_T\.git\objects\48,72,FILE,C:\PythonHomeWork_T\.git\objects\48
b70daab7ff72d10353e72406e7c907d3543677,C:\PythonHomeWork_T\.git\objects\4d,563,FILE,C:\PythonHomeWork_T\.git\objects\4d
