name,path,size,file_or_dir,parent
file2.py,C:\PythonHomeWork_T\Homework6,64,FILE,C:\PythonHomeWork_T\Homework6
hwtask1.py,C:\PythonHomeWork_T\Homework6,993,FILE,C:\PythonHomeWork_T\Homework6
hwtask2.py,C:\PythonHomeWork_T\Homework6,1756,FILE,C:\PythonHomeWork_T\Homework6
t1.py,C:\PythonHomeWork_T\Homework6,101,FILE,C:\PythonHomeWork_T\Homework6
t2.py,C:\PythonHomeWork_T\Homework6,756,FILE,C:\PythonHomeWork_T\Homework6
t3.py,C:\PythonHomeWork_T\Homework6,1605,FILE,C:\PythonHomeWork_T\Homework6
t6.py,C:\PythonHomeWork_T\Homework6,2266,FILE,C:\PythonHomeWork_T\Homework6
t7.py,C:\PythonHomeWork_T\Homework6,1768,FILE,C:\PythonHomeWork_T\Homework6
__init__.py,C:\PythonHomeWork_T\Homework6,54,FILE,C:\PythonHomeWork_T\Homework6
hwt1.py,C:\PythonHomeWork_T\Homework7,1276,FILE,C:\PythonHomeWork_T\Homework7
t1.py,C:\PythonHomeWork_T\Homework7,871,FILE,C:\PythonHomeWork_T\Homework7
t2.py,C:\PythonHomeWork_T\Homework7,990,FILE,C:\PythonHomeWork_T\Homework7
t3.py,C:\PythonHomeWork_T\Homework7,3304,FILE,C:\PythonHomeWork_T\Homework7
t4.py,C:\PythonHomeWork_T\Homework7,1557,FILE,C:\PythonHomeWork_T\Homework7
t5.py,C:\PythonHomeWork_T\Homework7,1413,FILE,C:\PythonHomeWork_T\Homework7
t6.py,C:\PythonHomeWork_T\Homework7,1221,FILE,C:\PythonHomeWork_T\Homework7
t7.py,C:\PythonHomeWork_T\Homework7,1108,FILE,C:\PythonHomeWork_T\Homework7
__init__.py,C:\PythonHomeWork_T\Homework7,46,FILE,C:\PythonHomeWork_T\Homework7
task.py,C:\PythonHomeWork_T\seminar3,777,FILE,C:\PythonHomeWork_T\seminar3
task2.py,C:\PythonHomeWork_T\seminar3,1049,FILE,C:\PythonHomeWork_T\seminar3
task3.py,C:\PythonHomeWork_T\seminar3,532,FILE,C:\PythonHomeWork_T\seminar3
task4.py,C:\PythonHomeWork_T\seminar3,415,FILE,C:\PythonHomeWork_T\seminar3
task5.py,C:\PythonHomeWork_T\seminar3,505,FILE,C:\PythonHomeWork_T\seminar3
task6.py,C:\PythonHomeWork_T\seminar3,787,FILE,C:\PythonHomeWork_T\seminar3
task1.py,C:\PythonHomeWork_T\seminar4,903,FILE,C:\PythonHomeWork_T\seminar4
task2.py,C:\PythonHomeWork_T\seminar4,585,FILE,C:\PythonHomeWork_T\seminar4
task3.py,C:\PythonHomeWork_T\seminar4,773,FILE,C:\PythonHomeWork_T\seminar4
task4.py,C:\PythonHomeWork_T\seminar4,822,FILE,C:\PythonHomeWork_T\seminar4
task5.py,C:\PythonHomeWork_T\seminar4,1014,FILE,C:\PythonHomeWork_T\seminar4
task6,C:\PythonHomeWork_T\seminar4,362,FILE,C:\PythonHomeWork_T\seminar4
task6.py,C:\PythonHomeWork_T\seminar4,697,FILE,C:\PythonHomeWork_T\seminar4
task7.py,C:\PythonHomeWork_T\seminar4,900,FILE,C:\PythonHomeWork_T\seminar4
task1.py,C:\PythonHomeWork_T\seminar5,80,FILE,C:\PythonHomeWork_T\seminar5
task2.py,C:\PythonHomeWork_T\seminar5,605,FILE,C:\PythonHomeWork_T\seminar5
task4.py,C:\PythonHomeWork_T\seminar5,148,FILE,C:\PythonHomeWork_T\seminar5
task5.py,C:\PythonHomeWork_T\seminar5,660,FILE,C:\PythonHomeWork_T\seminar5
task6.py,C:\PythonHomeWork_T\seminar5,250,FILE,C:\PythonHomeWork_T\seminar5
task7.py,C:\PythonHomeWork_T\seminar5,1100,FILE,C:\PythonHomeWork_T\seminar5
__pycache__,C:\PythonHomeWork_T\seminar6,0,DIR,C:\PythonHomeWork_T\seminar6
file1.py,C:\PythonHomeWork_T\seminar6,114,FILE,C:\PythonHomeWork_T\seminar6
file2.py,C:\PythonHomeWork_T\seminar6,64,FILE,C:\PythonHomeWork_T\seminar6
hwtask1.py,C:\PythonHomeWork_T\seminar6,993,FILE,C:\PythonHomeWork_T\seminar6
hwtask2.py,C:\PythonHomeWork_T\seminar6,1756,FILE,C:\PythonHomeWork_T\seminar6
t1.py,C:\PythonHomeWork_T\seminar6,101,FILE,C:\PythonHomeWork_T\seminar6
t2.py,C:\PythonHomeWork_T\seminar6,756,FILE,C:\PythonHomeWork_T\seminar6
t3.py,C:\PythonHomeWork_T\seminar6,1605,FILE,C:\PythonHomeWork_T\seminar6
t6.py,C:\PythonHomeWork_T\seminar6,2266,FILE,C:\PythonHomeWork_T\seminar6
t7.py,C:\PythonHomeWork_T\seminar6,1768,FILE,C:\PythonHomeWork_T\seminar6
__init__.py,C:\PythonHomeWork_T\seminar6,54,FILE,C:\PythonHomeWork_T\seminar6
file1.cpython-38.pyc,C:\PythonHomeWork_T\seminar6\__pycache__,321,FILE,C:\PythonHomeWork_T\seminar6\__pycache__
hwt1.py,C:\PythonHomeWork_T\seminar7,1276,FILE,C:\PythonHomeWork_T\seminar7
t1.py,C:\PythonHomeWork_T\seminar7,871,FILE,C:\PythonHomeWork_T\seminar7
t2.py,C:\PythonHomeWork_T\seminar7,990,FILE,C:\PythonHomeWork_T\seminar7
t3.py,C:\PythonHomeWork_T\seminar7,3304,FILE,C:\PythonHomeWork_T\seminar7
t4.py,C:\PythonHomeWork_T\seminar7,1557,FILE,C:\PythonHomeWork_T\seminar7
t5.py,C:\PythonHomeWork_T\seminar7,1413,FILE,C:\PythonHomeWork_T\seminar7
t6.py,C:\PythonHomeWork_T\seminar7,1221,FILE,C:\PythonHomeWork_T\seminar7
t7.py,C:\PythonHomeWork_T\seminar7,1108,FILE,C:\PythonHomeWork_T\seminar7
__init__.py,C:\PythonHomeWork_T\seminar7,46,FILE,C:\PythonHomeWork_T\seminar7
Hw1_json_file.json,C:\PythonHomeWork_T\seminar8,3227,FILE,C:\PythonHomeWork_T\seminar8
Hw1_pickle_file.pickle,C:\PythonHomeWork_T\seminar8,2168,FILE,C:\PythonHomeWork_T\seminar8
hwt1.py,C:\PythonHomeWork_T\seminar8,1597,FILE,C:\PythonHomeWork_T\seminar8
Hw_1_csv_file.csv,C:\PythonHomeWork_T\seminar8,1478,FILE,C:\PythonHomeWork_T\seminar8
my_csv.csv,C:\PythonHomeWork_T\seminar8,53,FILE,C:\PythonHomeWork_T\seminar8
new_json4.json,C:\PythonHomeWork_T\seminar8,433,FILE,C:\PythonHomeWork_T\seminar8
new_json4.pickle,C:\PythonHomeWork_T\seminar8,212,FILE,C:\PythonHomeWork_T\seminar8
s8t2.json,C:\PythonHomeWork_T\seminar8,149,FILE,C:\PythonHomeWork_T\seminar8
s8t2.pickle,C:\PythonHomeWork_T\seminar8,102,FILE,C:\PythonHomeWork_T\seminar8
t1.py,C:\PythonHomeWork_T\seminar8,930,FILE,C:\PythonHomeWork_T\seminar8
t2.py,C:\PythonHomeWork_T\seminar8,1754,FILE,C:\PythonHomeWork_T\seminar8
t3.py,C:\PythonHomeWork_T\seminar8,738,FILE,C:\PythonHomeWork_T\seminar8
t4.py,C:\PythonHomeWork_T\seminar8,1711,FILE,C:\PythonHomeWork_T\seminar8
t5.py,C:\PythonHomeWork_T\seminar8,1019,FILE,C:\PythonHomeWork_T\seminar8
t6.csv,C:\PythonHomeWork_T\seminar8,184,FILE,C:\PythonHomeWork_T\seminar8
t6.py,C:\PythonHomeWork_T\seminar8,1712,FILE,C:\PythonHomeWork_T\seminar8
t7.py,C:\PythonHomeWork_T\seminar8,601,FILE,C:\PythonHomeWork_T\seminar8
__init__.py,C:\PythonHomeWork_T\seminar8,51,FILE,C:\PythonHomeWork_T\seminar8
gess_number.json,C:\PythonHomeWork_T\seminar9,280,FILE,C:\PythonHomeWork_T\seminar9
get_summ.json,C:\PythonHomeWork_T\seminar9,134,FILE,C:\PythonHomeWork_T\seminar9
t1.py,C:\PythonHomeWork_T\seminar9,1103,FILE,C:\PythonHomeWork_T\seminar9
t2.py,C:\PythonHomeWork_T\seminar9,1622,FILE,C:\PythonHomeWork_T\seminar9
t3.py,C:\PythonHomeWork_T\seminar9,1617,FILE,C:\PythonHomeWork_T\seminar9
t4.py,C:\PythonHomeWork_T\seminar9,672,FILE,C:\PythonHomeWork_T\seminar9
t5.py,C:\PythonHomeWork_T\seminar9,2518,FILE,C:\PythonHomeWork_T\seminar9
